job_id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,required_skills,certifications,posting_date,current_job_openings,required_qualifications,industry_demand,hiring_trends,candidate_profiles,recruitment_timelines
1,2022,EN,FT,Cyber Program Manager,63000,USD,63000,US,50,US,S,Network Security,CEH,2022-01-01,98,Experience-Based,Medium,Declining,Experienced,Fast
2,2022,MI,FT,Security Analyst,95000,USD,95000,US,0,US,M,None,CEH,2022-01-02,98,Master's Degree,Medium,Growing,Mixed,Slow
3,2022,MI,FT,Security Analyst,70000,USD,70000,US,0,US,M,"Azure, SOC",None,2022-01-03,80,Certification Only,High,Declining,Entry-Level,Slow
4,2022,MI,FT,IT Security Analyst,250000,BRL,48853,BR,50,BR,L,None,CISSP,2022-01-04,14,Bachelor's Degree,Low,Stable,Experienced,Moderate
5,2022,EN,CT,Cyber Security Analyst,120000,USD,120000,BW,100,BW,S,None,CEH,2022-01-05,48,Certification Only,High,Stable,Experienced,Slow
6,2022,EX,FT,Application Security Architect,315000,USD,315000,US,100,US,L,"Python, Security+",CEH,2022-01-06,15,Experience-Based,Medium,Stable,Experienced,Fast
7,2022,SE,FT,Security Researcher,220000,USD,220000,US,100,US,M,"Azure, SOC",CEH,2022-01-07,83,Certification Only,High,Growing,Experienced,Slow
8,2022,SE,FT,Security Researcher,140000,USD,140000,US,100,US,M,"Azure, SOC",None,2022-01-08,84,Experience-Based,Medium,Declining,Experienced,Fast
9,2021,MI,FT,Information Security Compliance Analyst,55000,GBP,75650,GB,50,GB,L,"Azure, SOC",None,2022-01-09,85,Bachelor's Degree,Medium,Declining,Entry-Level,Fast
10,2022,EX,FT,Information Security Compliance Manager,360000,USD,360000,TW,100,SG,L,None,AWS Security,2022-01-10,94,Bachelor's Degree,Medium,Stable,Entry-Level,Slow
11,2021,EN,FT,Security Specialist,50000,USD,50000,US,0,US,S,Network Security,CISSP,2022-01-11,6,Master's Degree,Low,Declining,Entry-Level,Moderate
12,2022,SE,FT,Application Security Specialist,85000,USD,85000,US,100,US,L,"Azure, SOC",AWS Security,2022-01-12,54,Master's Degree,Low,Growing,Mixed,Slow
13,2022,MI,FT,Cyber Security Consultant,90000,USD,90000,US,100,US,L,None,CEH,2022-01-13,16,Certification Only,Medium,Stable,Experienced,Slow
14,2022,EN,FT,Security Specialist,50000,USD,50000,US,0,US,S,"Python, Security+",None,2022-01-14,94,Bachelor's Degree,High,Stable,Experienced,Moderate
